index,RECIPE_ID,RECIPE_NM_KO,IMG_URL,Allergie
137,87,파김치,http://file.okdab.com/UserFiles/searching/recipe/016300.jpg,
138,94,파전,http://file.okdab.com/UserFiles/searching/recipe/017900.jpg,
139,None,편육,None,
140,251,피자,http://file.okdab.com/UserFiles/searching/recipe/063600.jpg,
141,None,한과,None,
142,None,해물찜,None,
143,104,호박전,http://file.okdab.com/UserFiles/searching/recipe/020000.jpg,
144,6,호박죽,http://file.okdab.com/UserFiles/searching/recipe/001300.jpg,
145,None,홍어무침,None,
146,None,황태구이,None,
147,461,회무침,http://file.okdab.com/UserFiles/searching/recipe/147200.jpg,
148,None,후라이드치킨,None,
149,None,훈제오리,None,
